,user,averages_distance,variances_distance
133,1212131289,0.18,145.3649115488787
134,1213418294,0.16,57.04941790858955
135,1285020938,0.26,84.40655854978212
136,wandwofficial,0.54,700.8774516975809
137,hydu9utpybs27y6ks207c4r9q,0.37,444.8191437130044
138,st43cpizqgxiwqr5z5404y1pa,0.39,371.1793695481125
139,biprecords,0.32,625.8881221811413
140,imatolo2002,0.35,771.6533369204452
141,4h4f8syffhdqp0vqjpi4xzq9f,0.36,595.4051331555064
142,qbtqx45dlgarj0pz2nq54zy6q,0.22,411.7759686061092
143,86i98g8zh2722dm6sllzia2ue,0.28,567.0915550691952
144,215zqnjfumcoxmt7iugohgz5q,0.39,713.0101065042279
145,3byj0g1nldttycy3zn8safu6g,0.31,437.2326036022756
146,22geympzgpcckueuh7ry6rvqy,0.14,61.37774137576353
147,11121100731,0.3,284.0300280738596
148,jv0tsu8cdy93mqk6hbddn7s04,0.18,274.5984205603209
149,kjx8e5wj4vulaqas1hgvjujh7,0.17,345.0274194876731
150,edmhousenetwork,0.46,593.2313557018338
151,1225102279,0.19,61.19105413090458
152,11100723407,0.37,461.04898364070533
153,maxx.i,0.28,173.05765186444472
154,ndxaeymdx874f79gs4go7h5e5,0.55,404.41736808873736
155,jtwxjj6jkm00ho6b28hu556xy,0.17,668.217351788459
156,7wg2nz5p56zfpk617ej4akxgn,0.36,798.5111980646257
157,hannah.cheatwood,0.33,650.6275914970156
158,11124919118,0.27,274.87480567700544
159,x4dhrujullxp3fb2qjnnfh4w7,0.43,468.69251711102487
160,thelatestsounds,0.55,892.148087703983
161,1125352452,0.35,312.11652089668456
162,majesticcasualofficial,0.35,317.22996568383564
163,ekalimusic,0.29,331.4754135830265
164,theartistunion,0.33,634.0888249196628
165,jv5d3nyivs59hd5dp3iofhtss,0.46,468.90322412466753
166,klvhe9psjkwvxobx72gubr37u,0.82,1025.6821225692815
167,8gnu9mwsg4uzrsfig5i2ricy1,0.56,280.40681907144267
168,chris_odd,0.39,547.5974836730054
169,enormoustunes,0.49,733.7173623338632
170,1159402288,0.44,660.5483903331168
171,ultranovaproject,0.38,533.3986777632848
172,21lsqzmuc75cqkwxgy55mmqwi,0.35,401.8330075626662
173,uxtzcjs0h6cewpnljn8qnkxcy,0.28,185.12017534869548
174,arzh2zua9mml6jn18b0vis87f,0.14,148.84653638016346
175,lwreswhly30nb1ukev5hxbyfi,0.18,47.43960487093028
176,11132227822,0.67,665.8417702349203
177,vw5tmma4ehmfbin0se1ueq48i,0.23,242.90651624229088
178,3000digital,0.68,876.0347384449855
179,023vgk9misuj39ukij0b5a6s3,0.24,203.54109039942296
180,markmyblurbs,0.19,170.2643961549627
181,11147187535,0.32,252.3508370261387
182,x6uin6znk9f8ziyy9lgdk6o65,0.16,196.0842419603574
183,1114174687,0.32,611.7200450007488
184,pxoo9f9zxw2al3c41xmckmmou,0.24,73.58238161294682
185,newclaess,0.41,818.333660349086
186,cn543bfva4l4e8g7z19r0m69b,0.37,692.9449013910779
187,128794143,0.84,900.1130590117442
188,boughtsomechips,0.25,259.68077496548887
189,lu315,0.39,138.20245459504238
190,1284758178,0.41,516.2061740169123
191,cctz9alu6rn1hwut4bpz95e41,0.41,226.58058716106808
192,ibyself,0.53,391.3207404354823
193,nep0f1girgfzfpr177wo92ztc,1.22,320.7842409792795
194,suk1i1qhyoc594va8hexxnjy1,1.26,516.4165138965811
195,6fcmmztc3wty78chkhv0v34qm,0.18,35.88255812561917
196,223wrwigc6ebqhyuvli4ame3y,0.46,603.8757909691134
197,o68zf3dv2k2kulbgn4q04u853,0.21,115.90730552904976
198,rh2035ixuq5ma55qj5gba7cmf,0.19,127.7650752184913
199,nwmquej9ntdq04ug7wohk7wp4,0.62,653.3016884000447
