user,averages_distance,variances_distance
4ura3429lz6lq6xs5itaoqiyi,0.24,195.16222653337812
1263232932,0.29,222.02684540972916
spotify,0.2,104.57438903148352
dewar555,0.24,80.5909241503701
22jtg5pm3st6hnvc4tgubnviy,0.28,317.76137492021445
itsmythixx,0.2,292.6738574797584
gonnarxpeyou,0.1,135.66560656149292
awesomepersoncc,0.17,106.62635423037706
124980954,0.21,205.10540238015233
eliasalwan10,0.19,152.6572475372807
12135902319,0.17,115.1871939826756
matthewwalker101,0.25,204.98245097200444
reachrecords,0.31,330.9325990070291
1241017830,0.3,188.9916957164387
whatuprg,0.28,512.2861525981091
129332091,0.15,288.00198388727097
1268228142,0.18,187.46585093843478
1252605301,0.52,283.778028500961
loadcap,0.27,384.16373749434007
hollywdrecrds,0.18,191.15929739863802
113369986,0.2,272.8430267984498
edsheeran,0.18,590.2366796024003
popitlikeatart17,0.2,220.55992345745727
1213737756,0.14,465.87869031382604
dariuscatheld,0.16,135.86634608343078
bunnycrusha,0.3,183.80908352619676
iam3,0.38,236.25861278238858
disis,0.8,333.96308247961315
renatoneca,0.44,336.96795428445
sagi-shi,0.39,190.55020638163273
12167986983,0.28,80.5471160147143
w3arycod3r,0.49,289.0096171775706
1166084041,0.23,96.46945566686921
12134593994,0.44,471.43912192169796
jalen993,0.27,224.2070550969265
benbealmusic,0.33,396.7182400833629
ogjustatinxd,0.72,720.1853331777249
e07a1ftrxf0vnpyrrw5j1iwb1,0.77,782.6305716985545
_calvani_,0.19,374.11592500461586
soundplate,0.5,465.68058393388924
bigbeatrecords,0.38,656.6775564836797
myfearofmusic,0.24,248.5834658846596
225c4ndhiuu4pezo62nxzie7i,0.21,88.36215343803151
12132541020,0.41,359.7948677265385
apulianda,0.18,148.78983791654335
jakedeee,0.12,100.16846296458237
camillazi,0.15,264.29598681468946
myplay.com,0.19,279.9616474875997
allchillnations,0.19,383.79915399439676
brandonkaureaux,0.25,243.03517138299276
alltrapnation,0.3,374.47425644902694
1kphew,0.34,604.9343851003804
gawvi,0.29,241.2181068565756
espnmusic,0.31,151.5409156447515
sozoofficial,0.23,444.97585068971017
22x3nmljf6ok6t2gmeof6jtzy,0.33,591.5869179563488
mykaelv95,0.25,68.66165765635878
soundrop,0.22,61.481676735139665
wrightyp100,0.4,517.7383780964342
legacyrecordings,0.33,341.599666589774
suicidesheepify,0.3,427.1429463030166
allhousenation,0.45,887.7795450446271
tncrecordings,0.34,512.3938542408274
spinninrecordsofficial,0.42,765.6070350984542
sofia_carson_,0.28,459.21330788103
1257980087,0.42,254.8266892814204
tini_official,0.24,424.8688355137489
sabrina_carpenter,0.12,160.51908148642735
olivia_holt_,0.28,256.8835522750169
1247342306,0.07,155.36934576725926
1245233075,0.25,93.20055225185517
iu4dbn211o3jz2gc8d1eeavu3,0.2,304.50975742946804
sushibomberz,0.26,182.05501338201043
wavegangchigs,0.17,203.50115245498588
1213886451,0.35,317.6099932464693
hp_deskcraft_2500,0.35,113.27846033835577
taybrouillet123,0.18,130.95231237107848
zz0p10htj4g9iwow9lffdhzfj,0.68,681.3889695959546
1174030805,0.46,804.5536661051437
fabianfarell,0.28,434.30007352893585
6pfhllxfz62pdnjbqecw1ff4t,0.5,752.8671637513118
21gozfqzp762vy7k7glyp62ka,0.29,698.9070833606789
l21a6r6fvin40vzb888j3iww2,0.35,442.81912637921715
tunemunk,0.28,149.27324774224363
teocida,0.38,272.58356795212524
efufwwamfcimlwh6l1q6ca6vd,0.26,138.1205355497411
ishfi2lctxk2n9n2t8fsggv79,0.21,223.5049812653576
eyaysr5q9jp5xm25la4fwcf25,0.34,573.2616912708088
6rhg3tnhxm2zi3kxxuuuulo71,0.32,337.47862249800187
lovqfs8bz9idps2zfksl4e5x4,0.35,130.5743055038907
nacidosdelatierra,0.47,762.9842647103803
luwjjie24r4apqwonh3cdmhrq,0.2,39.95880686971442
profimusic,0.27,241.20638041481342
edgsantana10,0.24,266.4041428462526
edmond.huebner,0.33,321.3961081959497
kqyq2twocugatgwiqz9i0i99j,0.26,185.42394362155764
21dww25jrcs65so442t2aveea,0.27,331.47773478656643
ib8ys2wyl0wb29354sx7t7uzh,0.41,533.2086896020821
c0i1sasofmbo7mz4omia3a2d7,0.44,639.9481794453649
1143498606,0.26,161.1726912708936
21mnpomlbuozahoysqsn6cuwi,0.25,194.51076072942283
svgajoajr1crsmvesxu5vk1nz,0.23,256.2032912137245
klangspot,0.51,381.1580841220875
szwr8rx97ge4vckqta0lhyj6f,0.29,322.9327598884018
ph0q7yeawukgx69oh7o4evgb1,0.36,341.18230819723993
jrkane509,0.22,128.34591082586397
9hxudgp7g3lj0xctoae44xgiu,0.38,429.05453689386087
tropixofficial,0.17,116.74838693231975
sanik007,0.12,41.05411995870346
whtybpress,0.61,636.8143909116704
dailyplaylists,0.21,48.962903799095535
vef0enghlkvttd39ae6pepx9s,0.3,112.06915643908489
itj985xolwzgduokr04r7lt02,0.33,469.0897190126521
filtr,0.16,92.21040870632243
toplatino,0.21,383.1538212399963
allbassnations,0.43,574.5066320856097
allrnbnation,0.11,493.43456115120443
allrapnations,0.23,72.49077284798126
allindienation,0.21,420.5807286288585
nslangford,0.32,182.71246109314657
rapzilla.com,0.31,473.71285070237093
bxv6myddmviz546hlcxia9t5g,0.35,593.8688248801068
billieholidaycmgmusic,0.71,605.0011872607848
billyjoelmusic,0.2,302.4397795650777
bobdylanmusic,0.3,409.62006404095547
brucespringsteenmusic,0.24,480.3659733887978
elvispresleymusic,0.44,387.8247445750951
emilgsson,0.4,527.5825278716774
04cvkc5d6qs5poe9mua2u4ozu,0.27,516.386035551123
dd0816uwdh7nj6x29d29wk9h2,0.37,824.3616507725551
1243300775,0.18,119.07699212061546
1213186759,0.23,56.98835990964095
ml.byrom,0.16,278.85346916579664
1212131289,0.18,145.3649115488787
1213418294,0.16,57.04941790858955
1285020938,0.26,84.40655854978212
wandwofficial,0.54,700.8774516975809
hydu9utpybs27y6ks207c4r9q,0.37,444.8191437130044
st43cpizqgxiwqr5z5404y1pa,0.39,371.17936954811245
biprecords,0.32,625.8881221811412
imatolo2002,0.35,771.6533369204453
4h4f8syffhdqp0vqjpi4xzq9f,0.36,595.4051331555064
qbtqx45dlgarj0pz2nq54zy6q,0.22,411.77596860610913
86i98g8zh2722dm6sllzia2ue,0.28,567.0915550691952
215zqnjfumcoxmt7iugohgz5q,0.39,713.0101065042279
3byj0g1nldttycy3zn8safu6g,0.31,437.23260360227556
22geympzgpcckueuh7ry6rvqy,0.14,61.37774137576353
11121100731,0.3,284.0300280738596
jv0tsu8cdy93mqk6hbddn7s04,0.18,274.5984205603209
kjx8e5wj4vulaqas1hgvjujh7,0.17,345.0274194876731
edmhousenetwork,0.46,593.2313557018338
1225102279,0.19,61.191054130904575
11100723407,0.37,461.0489836407054
maxx.i,0.28,173.05765186444475
ndxaeymdx874f79gs4go7h5e5,0.55,404.4173680887373
jtwxjj6jkm00ho6b28hu556xy,0.17,668.217351788459
7wg2nz5p56zfpk617ej4akxgn,0.36,798.5111980646258
hannah.cheatwood,0.33,650.6275914970156
11124919118,0.27,274.8748056770054
x4dhrujullxp3fb2qjnnfh4w7,0.43,468.6925171110249
thelatestsounds,0.55,892.148087703983
1125352452,0.35,312.11652089668456
majesticcasualofficial,0.35,317.2299656838356
ekalimusic,0.29,331.4754135830265
theartistunion,0.33,634.0888249196627
jv5d3nyivs59hd5dp3iofhtss,0.46,468.90322412466753
klvhe9psjkwvxobx72gubr37u,0.82,1025.6821225692815
8gnu9mwsg4uzrsfig5i2ricy1,0.56,280.4068190714427
chris_odd,0.39,547.5974836730054
enormoustunes,0.49,733.7173623338633
1159402288,0.44,660.5483903331168
ultranovaproject,0.38,533.3986777632848
21lsqzmuc75cqkwxgy55mmqwi,0.35,401.8330075626662
uxtzcjs0h6cewpnljn8qnkxcy,0.28,185.1201753486955
arzh2zua9mml6jn18b0vis87f,0.14,148.84653638016346
