,user_id,artist,popularity,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo
52,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.866,0.59,0.655,0.0,-5.965,0.286,106.018
53,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.818,0.359,0.679,0.0,-5.695,0.157,136.117
54,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.65,0.644,0.534,0.0,-9.316,0.53,115.03
55,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.744,0.232,0.754,0.0,-6.767,0.454,79.97
56,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.659,0.425,0.7,3.52e-06,-7.708,0.11,92.009
57,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.711,0.11,0.705,2.09e-05,-8.445,0.0372,112.036
58,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.837,0.421,0.546,0.0409,-10.655,0.0685,135.908
59,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.685,0.0441,0.58,0.0249,-10.502,0.0315,79.999
60,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.666,0.876,0.247,0.0,-11.67,0.13,116.06
61,yojam4kpfre3ozvia2n73cduw,khai dreams,55,0.805,0.257,0.603,0.000331,-9.556,0.0429,148.994
62,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.871,0.51,0.676,3.4e-06,-5.572,0.147,125.07
63,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.734,0.896,0.222,0.0,-17.287,0.229,106.946
64,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.852,0.383,0.424,0.0,-9.308,0.0463,94.934
65,yojam4kpfre3ozvia2n73cduw,khai dreams,3,0.771,0.334,0.607,0.0,-12.02,0.113,90.035
66,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.774,0.545,0.281,0.0249,-12.527,0.0404,140.086
67,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.802,0.159,0.312,0.226,-17.272,0.0389,106.676
68,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.768,0.592,0.354,0.0,-9.484,0.0539,153.97
69,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.586,0.821,0.384,0.000524,-16.529,0.246,140.006
70,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.35,0.715,0.43,0.0,-13.14,0.131,169.908
71,yojam4kpfre3ozvia2n73cduw,Through & Through,26,0.871,0.615,0.523,8.17e-05,-6.319,0.0845,99.978
72,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.52,0.739,0.268,0.177,-15.199,0.0407,119.856
73,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.638,0.884,0.243,0.0013,-13.818,0.033,76.007
74,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.467,0.971,0.199,2.35e-05,-17.351,0.0441,138.229
75,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.765,0.144,0.379,0.00269,-10.569,0.0531,129.949
76,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.563,0.706,0.21,0.368,-17.84,0.282,129.222
77,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.739,0.826,0.158,0.588,-18.86,0.0386,92.554
78,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.594,0.574,0.621,1.51e-06,-11.266,0.327,173.909
79,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.75,0.696,0.244,0.0,-18.624,0.0501,94.318
