user,averages_distance,variances_distance
0ky2g9adn8q5y7rou6qxp4akq,0.37,365.8625238567484
69p11cjjkfar3jiuq8aciecxy,0.35,341.04841767811786
jspcfk0bii2ci7pk9nzwe8llj,0.11,56.399028441591994
5lawj6jyab0eorynbterzhg0b,0.23,120.13768874283697
21d3xhkb7chz6uumvh4ygjzcq,0.15,12.031524603456445
126451161,0.17,287.277875508001
joshuateya,0.16,96.7100190057993
13qcvdcq5ke3cs9o25fps7oem,0.58,556.3708203811402
317ua3vn5xitbtd224fz6ai2ssum,0.17,103.32107210169232
g0qn486j4z0bhsetf946kqvev,0.26,166.24197332115617
12854791,0.48,326.8167712141393
onpointnetwork,0.43,310.84643180548915
acid_stag,0.27,587.4802270207857
melodictune,0.35,134.22718460874285
blindcontourcollective,0.3,368.26456980853345
sidekickmusic,0.39,435.00024951386973
primarywavemusic,0.17,208.39425353011984
31vuzjlctao6iggqbw54v77ygf6a,0.16,377.20537027068656
music_is_much_more,0.32,323.8100568198082
n1t31z0b4zohyqwdjbg5i3lh0,0.59,729.2042310281053
16jary9p274xv3uyq91e5wlnp,0.75,569.1652618651923
zedsdeadofficial,0.44,377.9633811338348
lpdov6eei8rr8p7ogwrex3kcb,0.64,745.93031466131
