user,averages_distance,variances_distance
rx23lt7mlvr3doov32i7l8zg6,0.31,399.3581080937044
p43krc78as0hwowxwj8pvwhvh,0.33,458.70478459551566
markmcguire2525,0.21,490.4550705075677
s5cqzxg8lsfq4hwvrivaa9ad6,0.19,42.50520898606072
u3b95uj5ubdf6axgmj8813v9d,0.21,144.3996106801597
18yz0x3iys87hfzfvkhwxbopv,0.23,258.27925838394714
31aoe2743icsre6eykhzy7lqyzg4,0.35,250.61492310446175
pnv6te3zwjy6lwd32a3dwb2y5,0.17,357.27682702732994
dawz0r,0.13,175.3007860867684
88bgvad27d0wi4aawcsnbxs3f,1.26,789.1585187496595
oy13j90x9sykocejpxq5l84f1,0.23,354.193239533532
divusmusic,0.22,161.4025438759184
3xutdjd9lhwo003y8ppq21ef9,0.16,223.39329461225762
lpzchris-us,0.16,73.72119624334275
1239962205,0.32,211.39699115157862
oqnumsmsxp2xx2a2luokdxft0,0.28,261.65634432483637
discovernü,0.22,475.5533542027871
vawxe7nt6mwsrlzw2njr3lv4e,0.17,122.10140156880978
longliveklaus,0.83,841.7324731113414
1130474602,0.16,49.16275434025643
u975d38t82fjfnk0rit4ftmxi,0.15,338.1521141818939
aarq9osz6y04c0b95e9le0fpd,0.19,45.8717019721316
1mc7axha4hfav6u93w97rphxs,0.24,124.55810489399795
12143846280,0.24,161.1497268194352
c20jzsvojri9qzl8jgja9njvz,0.21,346.13835938544196
nobleharrison27,0.21,134.50501353924142
obrrre72hc1w1ntf6zx7j216o,0.66,516.1943177972701
1146440401,0.18,114.02230354251213
m9rc1d9czvlv16aos6fa31elp,0.13,105.01796251226826
xt4nmrm9b9mfnqaprzo59oi5l,0.24,53.36178811586122
1192865872,0.27,103.81332717128471
31omgwzjbnjw3rtsxzo4bzda3zs4,0.28,381.56598974557943
sirjordanwaddell,0.12,54.506341645865575
dittomusic,0.16,213.17076428253486
xunemag,0.4,485.4277240493712
j6g6gao1yjno04iamewot6gqs,0.18,328.3538216250013
i0yqel1xzjw2ej5iu0ftszud6,0.44,248.7282152129396
5q1c0b4x9oaqx0eqw2dx4vy40,0.3,464.32261922173865
12127205699,0.32,335.3528939642473
jdharoldsen805,0.15,132.59386837241254
ux1qw08qfbmn652wm7cj43wum,0.21,200.75555334786628
ft9jdg92ybdo3u2rp8w5m1xnv,0.39,355.4380938564036
4qnmezorapdajajqz6bpj6s9a,0.47,228.19683205179757
tjrobhobvah50p5joa13u7y63,0.25,242.18381398315896
aofd3,0.59,348.5096246947674
misterevidence,0.3,422.8920682518608
amayaelidani,0.26,136.19587145425197
ændy,0.23,115.90266156588287
5ewz15z68iua1lluoiqiiwx2p,0.27,217.3244466192255
12100215924,0.35,642.7301542456797
1151423835,0.2,248.27749237215045
11163784827,0.2,103.60111322294142
madmartigan16,0.25,248.49917329961295
egl49kkmh39ymwm16sg89f4ix,0.42,460.25657030205156
g1jui61jtqtjogfqyyswavoc0,0.09,279.6007904844608
slimdog27,0.55,419.9017993982751
22ouqri7lucpd7lxxsnf3t4vi,0.17,152.6595013602248
1152197740,0.27,110.48026915810573
sqqi,0.16,188.3779211560968
nykxmuzik,0.16,101.89896652546743
yeywjb21nfd7dlmcpvd26koia,0.46,674.2754435205308
z7xx6kv6huqrgc04ih6tpeiz7,0.21,150.5091856609031
1199988877,0.41,417.17427332244813
129376585,0.21,258.3746485379288
onvfivdlrjb5junk4z06ca7u2,0.2,58.96577582761016
avio01mj1zfgp0a04p6wb6y1k,0.42,503.935141452389
12153091552,0.14,220.63867366934653
g9hyus16wmmlyglclg7xjz88w,0.13,154.9753500303483
joshuamjessen,0.41,446.0013983259743
6ltgym1w7cnapkh8ptvwfwmt5,0.15,321.2877046935096
nq6j0x6dovztxhc2i5vrhvee6,0.1,253.8898242744994
mnyedyc2i5fwejcg51tr65s2j,0.14,119.73160952643637
1283297927,0.22,292.2136518267624
n34ujb08aurbuht3xxe55486o,0.35,474.338118941375
duysorandom,0.17,173.64131993109947
aschel2010,0.23,388.3125092352172
e2jf5kbgzxc615k1yfijnspfp,0.32,235.90563202364564
y0k0q2yv6vvv0uky8y7fre29w,0.26,184.44460664508486
8l0324dag7nm3ksbeky9iozxr,0.26,306.551714265746
ithaaw3n8jgrrp9hj0vm3o6x9,0.29,283.4649759278988
5ywuqz4w6mj63yy95hjma6k1p,0.26,198.0096584739522
mannyarber,0.14,49.33706404355887
adanazag,0.18,20.879898702116265
lancejoshuadl,0.12,146.45257126591525
popplasticmusic,0.52,341.43765144554243
swiftcoentinc,0.21,56.47358978756936
