user,averages_distance,variances_distance
5gnk1suthrjmi2fy4mx0oq5or,0.9,999.4865071880234
bokum8nv111606bergkax18do,0.78,958.7241625522336
lucasaf01-br,0.27,421.3310733947521
46540vk6hk2v5fh7zrej4rz8p,0.24,227.65299439144772
rpt4hecmlm0ak5vrhtqooq265,0.37,403.3843328812202
hxhgluszud3h27ensf9x736af,0.46,527.3151652519152
8mh5vjcu8uurb4nwn7fvzyg8b,0.23,347.89663486197156
haj99novo33p92db2zf2dswdb,0.27,393.78584066709203
xuakvfi05qxb5dadu77o9udin,0.38,805.2399216051107
franpotencia,0.23,115.38786635606894
serjezizzo,0.41,629.0048897769634
hubrecords,0.5,867.0920595657414
noraenpure,0.89,947.4820532481567
sonsofmaria,0.51,769.5666547382967
31aofhkhwl4ffq2rfyl5gdgc2qdm,0.31,472.3901407672138
1pg9k6ug83tfus4pfxerfwu71,0.41,539.474606531936
msyzwudoikt1oea56jmzm5dhq,0.57,776.4282927290687
uoak,0.67,926.5628467253496
69wqbo1dhjwit0w11estf2c8i,0.41,586.1446598993778
7sj8zj2mq41yrtbqxl71ysrb5,0.39,356.67760706681753
7qot8jp1r4y7isf0fn31rgfpj,0.84,925.1557673074615
1125474112,0.35,493.4481893618709
dft73bz7owss3mncebwv2de9t,0.33,393.16761268414314
1156870903,0.38,563.8572546848109
wd7g8i2filygbks0sgk8hnj8d,0.84,966.0238005140884
5y1mb6h4t2qlq6f3nno6set8x,0.38,547.2291673470104
itstomix,0.37,507.660550623294
futurediscomusic,0.77,964.5161051806268
m9xmat215fxew2ehw7ozws8ws,0.46,853.1827966282939
oproblemaegrave,0.46,830.1917694108998
21ikkzjpsqgvcp4eiz4gpe7gi,0.52,867.0706581400684
2rq61ec2wepsfsnpoh9c8r877,0.35,391.32244921474654
d38sqg3bqvn9gljyderq6m787,0.54,561.810042402123
golddiggerrecs,0.63,799.9798293877984
o2aoshvsdh7q2041x8vxawkha,0.41,508.70292850285
groovebassment,0.64,913.2375223582195
z0t82mlnrczdi5pnifrk81hll,0.4,749.6478299797327
deepwindermusic,0.32,631.7331294850861
iczmxwz0sicbu4kcrho7rk1x6,0.57,1020.8888543288216
delicieusemusique,0.54,416.68429338967445
128098354,0.5,520.2232685477239
wtqcx4bhr0878brhugiqm5ms2,0.31,518.8904160143841
repatriarca,0.49,529.8250605101939
l9r9hmmkge8xhe8qf4pm2lpr0,0.57,496.6394548229756
22p3x4yhr6epnrp7aqn2mxlji,0.86,702.5848533010098
digitalempirerec,0.57,769.793149696381
vonmogermusic,0.47,849.858344014297
1113561406,0.45,474.0927515898444
promotingsounds,0.17,230.80009377852193
diauajt2b4424wzaqquov5gk1,0.19,644.9073404726271
kpu7ttyvk94i360ju1ym63upj,0.35,431.8478768813755
chalkyboness,0.12,277.1176792413724
a1pfgmui2jrxh4zngnw51wdl9,0.75,870.2412071336178
e3a8zf77n5t72w84tp222eusw,0.35,435.62115927195725
xt2uxptv6tjx9on8kwibp7cr6,0.28,179.77538367392194
gotheberg,0.34,250.0689727424144
w7boaiq3963j3uh05r7bz1fju,0.4,401.5471357878672
2e0v7f11g0h10suxeh31cpajs,0.21,330.32418096895293
zl6lla0drktubdcszk989u8rp,0.28,280.6424536937447
1172220282,0.45,244.8284642243093
1164632070,0.32,326.39679720096166
ji467iqf80oosm0xwz0t43re2,0.46,388.3802732512765
kyumzks2dd2zh07axigcnxy0s,0.12,531.907912998183
1115724583,0.71,488.1400974205561
12176603473,0.32,313.839764851258
bthm8wk6oe35pberya40zlmge,0.19,74.41356186375752
eec9nqgd4j4h5ojvhfu6f5l9o,0.26,267.22590086240086
os3cfo5nma3kbzgbk6mp6an1a,0.28,160.96479200658635
81bq02huen5wyxq1xjx2pjbf1,0.24,220.42823395620772
22gdct3afm274krpud2znkwcy,0.39,378.4591417123925
gys7b048f0g6ikrh4gx50cnlt,0.12,56.40651058370553
7u2ybje621fzc0b847axac8sc,0.6,622.9483630364992
5w4vexyjtuzjsrrr4mtb89388,0.65,411.66552708085396
ptf68083wtq6b14v90r1a37fp,0.31,359.9760586605184
4ssbwsitp2c105qcprm7e626s,0.22,105.07003938814441
4fxodm5om0mpmrkfy9hfc2xps,0.25,140.5562391629062
th6ygneeg9hqtfqowteawgzwl,0.21,90.21589597643538
vnzetbd8uavzyi0ffhoo0oysi,0.25,125.8408385510177
1c2xcsgyd1on4zoguvo3c29y4,0.13,192.17929243282984
11fdo9glygscn2n4hfyqy0rvo,0.17,33.68948088965352
yoyorda1020,0.24,189.69318177767414
kzn0wmd5f6by5declq4vww39f,0.23,244.75092505582109
5fb7jhofed6m6j0e2169aq5t7,0.38,549.0464441998935
kjxlawv8v4ejs1kms8zl234ry,0.22,131.9678219244696
lolareyes2000,0.18,249.36545462792733
eightyninety8090,0.25,130.8353801262596
5jsdms7r70gsaswnvu47argzl,0.31,259.37866639640293
alexaddea,0.34,741.7163278276663
p1gkle9p89w1xldoq3ytk2jsp,0.79,912.931565281425
musicgateway,0.24,243.6246256572713
kj8hk1v3jn0nblywelncygmer,0.23,351.85580332253465
1178960486,0.25,314.34795220835554
adamscottheaton,0.95,948.2331849701109
1121901622,0.43,333.1248062265915
jippiex2k,0.86,801.7749061699785
barrysoriginalblend,0.49,338.74109712242876
64yaq4gfzb3mvay768i08m832,0.88,615.530887354355
orel1qnhcce3d3arl4hnqzfo1,0.3,199.5218390601918
t7v6a4k2fp6u6rvmeeniq6p0d,0.47,385.57943436226304
22cz47c9z49ai9s56lcafsehz,0.2,70.35602147357869
9ixmfw4vs0379fns11sqss9r6,0.26,112.34292828716788
zk4059crqm1bjazueppcnqqud,0.36,479.5838871045471
azzronulation,0.77,546.4170438106696
ir59laifeuuq8cvzexyeijqgp,0.46,435.1005961098913
22xa2tiffh6n73ihdknqm4eyq,0.87,475.7843317815162
1186945963,0.77,531.6062369213058
21ofwii6rsoktylwphluomvhy,0.54,450.13655025497854
kepchullah,0.23,409.2933342743377
1257891495,0.13,186.66960813211773
rrkrumins,0.27,219.7535367705056
risebaileyrise,0.28,144.62818927797565
1240053425,0.67,413.33052131727703
almatheatre,0.56,473.46329353011737
nibrneeeq8zb4cwfqp3wf5ytv,0.27,508.910609699418
1171170259,0.24,618.0943382345641
1296517841,0.29,178.58517727454492
pmfojcu9nw36zvdwrgoviyxrd,0.16,278.25634478306995
