user,averages_distance,variances_distance
1231751707,0.15,118.07115894183212
orangememorial,0.38,155.81423201610053
colligencerecords,0.14,496.9914442508432
st605d86gklcr1dgu7niyjw1x,0.47,318.15868478958123
1239264788,0.2,72.03232828205935
22jjynuwjcykbdnbids3pjz2q,0.3,442.44873981187214
dy5znlmtvnl3bvp7t7cnu7z8e,0.28,154.23544860508258
landr_music,0.48,646.9223972242817
1214891376,0.23,277.9328457471858
samuel_grendel,0.6,978.152961499197
bagigetto,0.66,681.2145641012715
oroborotube,0.63,594.8732328054748
jazzmake,0.66,674.4248178901294
i6qn3iizp18f9g6bhcr2ek1pc,0.15,163.14636321578413
vih9vuivzpl6joill0peuwhj5,0.29,482.1228128845244
