,user_id,artist,popularity,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo
0,vc1k6n7vgyw6hydppj8p0l5xz,Various Artists,26,0.743,0.0417,0.799,0.305,-9.655,0.0357,125.998
1,vc1k6n7vgyw6hydppj8p0l5xz,SICKOTOY,50,0.814,0.113,0.665,0.0238,-7.138,0.085,117.976
2,vc1k6n7vgyw6hydppj8p0l5xz,Voster & Gallardo,34,0.555,0.0392,0.716,0.0,-3.604,0.0486,127.929
3,vc1k6n7vgyw6hydppj8p0l5xz,Sekosh,23,0.751,0.0599,0.844,0.00055,-5.6,0.0486,117.992
4,vc1k6n7vgyw6hydppj8p0l5xz,Tony Junior,30,0.625,0.0331,0.697,0.0191,-6.068,0.0714,127.734
5,vc1k6n7vgyw6hydppj8p0l5xz,Alesso,74,0.834,0.0546,0.678,0.263,-6.242,0.0515,121.995
6,vc1k6n7vgyw6hydppj8p0l5xz,Tiësto,94,0.798,0.414,0.62,0.0192,-7.079,0.232,120.031
7,vc1k6n7vgyw6hydppj8p0l5xz,VETA,26,0.473,0.00608,0.852,0.0182,-6.07,0.0679,150.017
8,vc1k6n7vgyw6hydppj8p0l5xz,Armin van Buuren,62,0.616,0.000616,0.926,0.000108,-4.28,0.127,129.946
9,vc1k6n7vgyw6hydppj8p0l5xz,Kryder,13,0.753,0.00239,0.892,0.147,-3.795,0.0505,124.982
10,vc1k6n7vgyw6hydppj8p0l5xz,One Day One Coke,34,0.727,0.0131,0.808,0.254,-6.119,0.0443,124.979
11,vc1k6n7vgyw6hydppj8p0l5xz,TERNOVOY,19,0.91,0.00368,0.661,0.333,-6.388,0.0973,122.004
12,vc1k6n7vgyw6hydppj8p0l5xz,Din & Vic,31,0.798,0.000508,0.924,0.881,-5.942,0.0754,126.018
13,vc1k6n7vgyw6hydppj8p0l5xz,Hologram,32,0.54,0.0018,0.831,0.479,-4.596,0.0509,177.981
14,vc1k6n7vgyw6hydppj8p0l5xz,Firebeatz,51,0.521,0.00684,0.963,0.903,-7.546,0.0431,125.002
15,vc1k6n7vgyw6hydppj8p0l5xz,AMARI,55,0.747,0.0636,0.829,0.000181,-6.156,0.0666,126.019
16,vc1k6n7vgyw6hydppj8p0l5xz,Асия,35,0.71,0.0795,0.873,0.0172,-4.212,0.0524,122.033
17,vc1k6n7vgyw6hydppj8p0l5xz,Тимур Timbigfamily,37,0.741,0.236,0.902,0.0153,-6.497,0.0929,124.014
18,vc1k6n7vgyw6hydppj8p0l5xz,Severman,26,0.493,0.0588,0.827,0.00122,-5.294,0.0359,128.036
19,vc1k6n7vgyw6hydppj8p0l5xz,Mike La Funk,55,0.598,0.0274,0.763,3.71e-06,-7.068,0.067,124.891
20,vc1k6n7vgyw6hydppj8p0l5xz,Nicky Romero,56,0.522,0.000577,0.939,0.00491,-5.109,0.0359,126.023
21,vc1k6n7vgyw6hydppj8p0l5xz,Matisse & Sadko,39,0.507,0.00691,0.814,0.0351,-6.849,0.036,125.974
22,vc1k6n7vgyw6hydppj8p0l5xz,7 Department,31,0.588,0.00015,0.837,0.219,-6.553,0.0379,126.004
23,vc1k6n7vgyw6hydppj8p0l5xz,Don Diablo,63,0.698,0.0567,0.826,0.413,-6.909,0.0425,122.046
24,vc1k6n7vgyw6hydppj8p0l5xz,Digital Farm Animals,50,0.779,0.113,0.719,0.0,-3.887,0.0446,122.989
25,vc1k6n7vgyw6hydppj8p0l5xz,Afrojack,64,0.713,0.157,0.772,0.0,-5.032,0.0313,125.001
26,vc1k6n7vgyw6hydppj8p0l5xz,Nicky Miles,31,0.648,0.295,0.968,0.0783,-2.398,0.0709,126.132
27,vc1k6n7vgyw6hydppj8p0l5xz,AVE,48,0.748,0.173,0.67,0.000376,-6.752,0.0652,123.01
28,vc1k6n7vgyw6hydppj8p0l5xz,Lucas Estrada,56,0.588,0.374,0.685,0.000155,-8.08,0.0624,107.938
29,vc1k6n7vgyw6hydppj8p0l5xz,Marius,26,0.728,0.0243,0.711,0.0041,-7.938,0.0416,125.011
30,vc1k6n7vgyw6hydppj8p0l5xz,Hook N Sling,57,0.813,0.0453,0.848,1.51e-05,-4.582,0.0534,123.978
31,vc1k6n7vgyw6hydppj8p0l5xz,Sunnery James & Ryan Marciano,31,0.628,0.000851,0.939,0.823,-5.684,0.0411,124.993
32,vc1k6n7vgyw6hydppj8p0l5xz,Sonny Fodera,47,0.7,0.449,0.782,0.0,-4.631,0.0542,124.969
33,vc1k6n7vgyw6hydppj8p0l5xz,Riton,93,0.824,0.0076,0.862,0.000132,-3.424,0.126,122.98
34,vc1k6n7vgyw6hydppj8p0l5xz,Aspyer,47,0.555,0.204,0.88,1.07e-06,-4.617,0.0781,125.882
35,vc1k6n7vgyw6hydppj8p0l5xz,Various Artists,38,0.787,0.00544,0.875,0.0,-4.23,0.0985,124.029
36,vc1k6n7vgyw6hydppj8p0l5xz,Habstrakt,49,0.755,0.00532,0.947,0.4,-4.771,0.212,124.026
