user,averages_distance,variances_distance
119317885,0.25,113.84961084708895
11133741784,0.37,580.2420576670859
11118199,0.18,183.8146176550877
el_listón,0.12,142.3831765977283
1223330077,0.33,298.4383382391136
sonymusicitaly,0.23,239.43016166994835
mejoreslistasspotify,0.18,374.62870379452914
114125244,0.2,235.26500166903088
12141613034,0.5,860.6718054507103
prettypinkde,0.75,956.4191523209932
jq9h4jnz0gy7rw610fgzt2s8d,0.59,364.82843756616774
straightupmusic,0.31,502.08023901951077
rodolfo.camone,0.65,708.290213213765
clqh5q0fz6oesmyigsk6mq7eo,0.75,680.5308190396972
11171350018,0.57,1038.9729135268424
12156472071,0.26,326.08550139391275
qt1kseeiqay396e237xsuiskp,0.91,941.7162283809561
c6cob6jgwhqjrlww3pmdcf8dm,0.2,199.2545158620881
musicgecko2015,0.22,504.9199183506416
f4qfqbntroa87lru8sbo10a4s,0.72,982.2810587046952
12148056956,0.36,348.05930796956886
jordanmalato13,0.46,829.5332461921046
evokings.,0.66,893.5495566266537
at7g8lap5eqcull4jans3q5ud,0.48,875.667843798828
twzrftt2ep4jmav87ndzovlqk,0.8,914.0140309959194
