user,averages_distance,variances_distance
cashmase,0.15,159.62234839555708
u3t2bcz98s7sfim34svvws3iy,0.26,284.17978091197205
g3rortuxyqju93m32z3z0s9mf,0.18,214.16234861081332
hlx9anbs73d0r6v06qwdq0gsn,0.21,487.1402702202463
21kky6m3d7map5zqd4g47uarq,0.26,429.6070242835306
122881276,0.24,179.0633683865158
2l4ejc2yr4y4owuhr3k8a0aac,0.28,198.65608055651407
xha86tipmns6phvvoiuf67gsy,0.31,109.5820054442074
noob.scw,0.22,143.78578136972544
theswingingturtle,0.23,299.5032378350801
11187156787,0.26,165.8613095526878
rainbanquo,0.17,147.11845193653338
1276640268,0.2,98.78345831444854
eliary123,0.1,97.97562045367603
allanmoura1,0.15,462.48267450058387
p1ebwx7jjtjkqo3yoo7ml8r8l,0.16,218.02992986017645
cbellkep,0.13,211.98560711116926
21osoav3gcnkbuyagdj4cthci,0.16,61.33385588502044
szhny45mgwd5env9uzusoedbv,0.1,150.97588976751967
22wzdfa77jayuly6ggaxa6plq,0.25,182.215251184508
xecxyij55mozhl87xpv93icw4,0.2,116.70225430480805
indiemusicpromo,0.41,245.32522131140902
w12jky51c03wildfb6s7tn9xy,0.25,141.9874037371044
jayhonest,0.2,226.60277569705534
jfmqo0g8mtgg928lkoos1g3uj,0.26,144.50353255454436
1245697836,0.38,548.8466190847821
ex7yly13bmwt0rk4396haogwc,0.21,186.22332499578212
iamsayiboy,0.13,242.2886242533662
md8rbtlvqwu75wvqpqxqqdg2z,0.22,35.37093771667364
119306811,0.57,598.9442028830919
21cemrxoh7w64ve7ky7bdqkqy,0.24,327.2606240412392
6ejxzneuch5w38vj8bs2kkh2a,0.15,185.97039434182588
0lec8qco0eaes3lyyycre9mb6,0.22,346.1877504821392
woyodw7qt0hwneudtbf4gotxw,0.35,343.9895485957482
bc3t3ftzr4jygp05z9bfugx9x,0.31,156.9069894917472
1240231910,0.21,590.7962477335255
jochnilo,0.27,178.52615494387314
go3ldcv9phluwsnw3584mhc1i,0.31,371.7825515503405
nt71phz86dkxvxs3pqx6qz1cm,0.48,549.1248178695843
8sed9n18dm1h9v6lgcesofa8e,0.29,248.28807340583248
djcarstenmichels,0.34,570.6420192929384
cfehup1ku26h9hrkjc3wtpshs,0.71,472.0163484251928
1255900234,0.32,322.2622170477311
1168743619,0.2,186.1541392591746
pci04f41yz3244hqh9zaexotx,0.38,310.92357997563175
py4wt0il5ss8aa3ygdtmkpv9a,0.28,238.4735022911213
mnc45gwm4p4bj1mxo1j64ssaw,0.34,437.10501053889567
roamfm,0.26,54.01134556307962
jsq00o76wnwjhzlzoro4x8nt9,0.32,614.2572314007119
124245076,0.44,426.29317700781644
31k6xajclhq2t326a747ybdbmmfq,0.22,136.86586002698365
31plch3325olivlayxmtxk2y3av4,0.28,324.03348832810366
8jd6episb1zi3m9o5ez0sdug1,0.22,162.28099142837652
12148144214,0.2,165.7124155513112
1214549859,0.43,258.17382163959195
m20wl888vlbaoji9p97a4u5v4,0.33,762.7037748417887
il0h8137x4g7b8r7j67qo3iet,0.15,111.64555338267547
rocknrickyrialto,0.17,138.783325159172
fire2k_,0.21,118.81460668286827
p8qkkc8m7yayl9mslbr94mmr6,0.17,120.56782382081492
bowemusic,0.2,62.639098652677696
4gncwr8g1676uutotdr329fg0,0.18,191.05561261208905
1262549111,0.18,245.91516908773485
22fpcb42sgxufsbzihmlwzeoi,0.36,405.1691080024142
nrlrot3bbc7l5r7f2g2wovvn5,0.25,282.0303574256341
8a974dvjqq4044mqxcf29wil0,0.23,475.5596066126286
cjehat228dajxgma2vo8kxyh5,0.34,231.20295844268978
dor7cmlu5cn1dki1iqagc2ba6,0.68,768.6014862288367
avaliveradio,0.25,29.04690999032248
steamphunk,0.31,609.7887974961325
duv8z1myewkefwpsifresklqf,0.67,336.6388577302336
9wham0ek4ukxlq31a8lwg0u5r,0.19,87.9818657701931
3z2mp3nmndsoxu91czf4hq632,0.39,569.3692123668505
gpqan7minp6yeh00gkadcgd9j,0.33,203.76156040140893
michelle.blaho,0.19,177.92226668738348
h0ztwq6b5rb6bk94agmadahtc,0.29,223.00062162641606
12156115892,0.25,67.5612452390323
qfph2kdkzekz0hyyhjbp1riz8,0.32,222.56025762972806
jiks93vengr5oh68ivnlm8ryy,0.31,181.52966796086278
*beloved*,0.7,344.1107602213765
jamesdavidprestonking,0.62,486.42635444339794
djagentm,0.21,119.61212282440987
nvtbzuxgpxogwrtmyfpt1xhnm,0.71,725.5669116247433
skorne13,0.62,471.85036939115065
ohebsnvil45svaecfq0qt4beo,0.48,385.8997455648164
michikawa,0.95,632.6032877171571
a1lr3ar8rwr3dcvym3pk2e6g8,0.2,282.9302535105373
1147975934,0.29,302.4469589974037
1218020162,0.26,262.98678929510544
wv2bvlvxqelid1pk1cj8aj52w,0.38,737.7675270225649
es4n7w8q8fnchb033eu14d3se,0.33,391.2585818212177
1rmsuwfb8ctk6iy7qeueqxpjn,0.22,190.43980191938252
1126310257,0.17,187.20800109920998
a174u5fw2y057anjvvkz3kl6p,0.41,787.2286918083101
2z9kpltmnhnvfcn9mgs0znhni,0.83,460.8919815403017
sidelakellc,0.2,88.81650569488102
21zgqp327cusjwbgpdfo77niy,0.33,289.09834514286644
1229887948,0.32,135.43935429811623
