user,averages_distance,variances_distance
cusyrc8vhl5qh5bfl6gjyg2pq,0.5,709.3575042887949
5ve9ioxsum3zie51jz0x2ghbh,0.42,732.7407629653475
phuturecollective,0.49,476.74626006890173
hstreten,0.29,210.30424859492996
labelengine,0.38,539.4780393793577
bigedmsounds,0.52,708.2571240139532
lvrjxkd8lig8yosj36ec2u3u3,0.48,685.8633726624605
b9ec1os65v1rzxxxv7s57zvxh,0.64,917.0880639120355
keaneofficial,0.22,378.5000359876194
bxuus0gt62ggba8e9c908brob,0.29,266.1796645523088
dimitrivegas-likemike,0.48,601.7218270395406
3hipupvjf3povrb9gf5n4dmb4,0.24,221.76568969589485
smashthehouse2,0.48,682.619053250367
3gnsb2owlp6hbxucflll6jtdw,0.43,574.2124177676119
ziqvuikvkvr6up6f3aqee8z26,0.2,171.52952808981374
loopofficial,0.25,346.7182353563075
1286592394,0.92,479.01055321986377
planetsmusic,0.32,457.6336080115842
1112514284,0.27,71.81586996212175
ebhfrzimkj6blnyg71zoid4xq,0.25,511.22188219246556
i2bplor9jsygkwf4fgh1o4w03,0.33,409.98894109759743
ledesbeats,0.28,155.25174130167534
as6quter0u957epvu3lhrtqcm,0.38,520.3671194391324
alokofficial,0.41,856.5565891181581
suo2sbl91eeth3elwrfuq7qwn,0.18,262.0022266321727
1164036099,0.34,24.497095679177285
