user,averages_distance,variances_distance
jskett,0.34,313.22124376977797
stringmaster1234,0.5,477.34281014362244
x40fn74nzd798rvmpy6o5vue7,0.97,576.1575282808166
1299942493,0.13,45.11027263367321
21ilcv5pjg7ahej34bqvpgf2a,0.23,272.04403075140044
xilnp3ldagjkq38m8c8se5x14,0.24,266.64082314999206
21zg4rv77aorjcstyzll7pbvi,0.48,342.09607501068996
enilsounds,0.25,294.8666282247568
stoneygatesound,0.36,211.74140328628098
21hevqjvu4cf4cbzyqpxp72aq,0.34,534.7379334949292
12133791182,0.15,322.64112085231653
22ndlp3potcvzbqysqbm5zzdq,0.91,503.8285639874762
31lnvu7gvhagyto3g4szqpyigmx4,0.22,163.8476125934538
11101267157,1.08,523.964293063647
wl5b0pnjmlnszz9x5o2gnrq44,0.39,290.44770866118813
gtavanoit,0.37,239.73260763795514
6vprurorx7zcfho6ol10w8njr,0.52,531.8851181470626
amg-music,0.31,260.91711348553537
sxeggah4v3hve8lfgon6v6a5r,0.39,698.3987433432301
214cffjmjyv5luowshuf6teaa,0.48,917.6635199157984
12165573553,0.47,861.2266842169164
xrh7zbww2i87sabi66g3bit8n,0.38,347.7460905646024
dtaot43hiz758iwpi1kbx5bdw,0.35,797.340941346768
zcszsah76l94tltmiget761mi,0.49,937.9453977745754
zgxbllno5ylnwmab4qt6s0lso,0.32,452.2079824059404
bombsawayaus,0.35,301.44393562410227
sativrecords,0.43,728.6034099350367
raq07cbyjnwo82g03epx1k9er,0.34,530.6152618418265
djjonesvendera,0.48,716.6478028155927
daydoseofhouse,0.39,713.7564536793366
lplvruo59uj8x538o6702e821,0.17,424.4891230602455
deraj18,0.31,109.53201214894797
21gzy4zmz4oxluchyp6yl6yta,0.37,352.13070231031037
obny8iohr44m9l661j60lahjy,0.27,170.21243013118175
1175865823,1.02,618.1921271582441
reflymusic,0.33,166.96630605871744
115338402,0.28,73.16065097385801
bjf23244hbxx5007yxyankaw7,0.48,464.1183051638832
*shenanigans*,0.33,432.82243937363603
1155692635,0.25,99.15862531948508
gsjalmrl17xkg3tdcdo3iu7xs,0.41,552.3401352212472
11183336267,0.34,313.985173996208
1136685024,0.21,83.1474467326307
oj1n5c2jjps1295v59zienynd,0.74,529.3165732546929
wainjah7300uok7dtau0e0i71,0.47,351.94922136804263
qwgz8sxspi1x1znkd2lwqg82v,0.76,590.6152659296514
12u54goplg52vduvf59q3f2eu,0.87,794.4296682615354
21ppgf2i4zdd3pe6auwcdzg5i,0.33,380.16187125136906
1shvjycjz1ed35jcf4gz7meti,0.84,561.7147000328875
lycheeonthetree,0.89,649.3926814922036
2larloavzmf0bwbb9sr7gdlwg,0.53,299.9530490984785
nii55b6mksmztblhpr4u8c5hu,0.44,360.36286695410405
cz0vs1u3f2z0h6085ck98emm2,0.63,443.775680776252
whois4bel,0.37,354.8597240297011
21favjitcvsvwhwuu26hmof6a,0.17,94.0147311178256
oiw0n3k59u1n4ez9dcerti5dv,0.82,587.7224627591421
11grubbsc,0.2,189.60607560636643
flowclark,0.39,219.56517327222826
22a6wjllfnf77v6xpktz2mckq,0.86,652.7058553263278
0lwdinamxvbwbik83xg88lz4g,0.24,219.6582070537525
11133356168,0.52,295.77293595365745
8uonnxpotirzjpfvuev4zd4tt,0.43,362.07578158727154
marcospaulojj,0.24,232.5568308339701
bolierofficial,0.37,586.9144760049603
tqvsvhs4w7mbtaogw5jalaojb,0.7,918.7860513733812
1189278958,0.32,134.35263982997526
maharamusic,0.33,541.2120659798194
tofuumusic,0.3,290.090709327981
1169078408,0.41,316.73626402971934
filtrindia,0.1,220.86988727525002
filtrmiddleeast,0.22,258.5292519569314
absolutedance,0.11,156.72893916395827
russelista,0.25,175.15977969276412
sommerminner,0.22,148.37252254322394
sonymusicuk,0.18,100.56843344727906
yiasmpm7w3t8br735lw7wl0jh,0.38,758.7293009448138
youthenergy,0.48,777.8836979895627
udiscover,0.13,117.51314889041686
1211317742,0.24,117.37279302179114
rendcollectiveofficial,0.25,545.2034308998383
123452437,0.13,160.95281665848043
psaltyrocks,0.24,125.15076432954717
benrector,0.16,66.8634923406471
auxlondon,0.29,706.5644679435644
codeko,0.37,400.69165555263805
armadamusicofficial,0.5,769.6183274724137
1227756762,0.24,18.181074616623402
robbyhauldren,0.27,283.3315829111209
twofriendsofficial,0.33,420.9513984121563
artistintelligenceagency,0.36,309.56342975546454
thegonzilla,0.25,94.09401725671349
stevenbarrett20,0.25,150.18841449368537
1210963719,0.25,385.86410741619056
1248682159,0.08,119.90471878366382
wearethein,0.12,160.340434631868
best-of-the-best,0.21,201.1382949308109
1284752161,0.2,58.56793187996018
